"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km)"
"04/27/2024 22:05:28:380 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","5","20","0","dry","2392","9","N/A","32.05","N/A","6.55","N/A","5","N/A","32.05","N/A","6.55","N/A","32.05","N/A","6.55","N/A","11","N/A","32.07","N/A","6.65","N/A","7","N/A","33.01","N/A","6.877142857142858","N/A","30.4","N/A","6.245","N/A"
"50","5","20","0","dry","2394","9","N/A","34.04","N/A","7.14","N/A","4","N/A","34.04","N/A","7.14","N/A","34.03","N/A","7.14","N/A","11","N/A","32.22","N/A","6.64","N/A","4","N/A","31.9","N/A","6.555000000000001","N/A","32.4","N/A","6.687142857142858","N/A"
"50","5","20","0","dry","2399","9","N/A","30.67","N/A","6.27","N/A","4","N/A","30.67","N/A","6.277500000000001","N/A","30.67","N/A","6.27","N/A","11","N/A","32.27","N/A","6.55","N/A","9","N/A","32.62","N/A","6.613333333333332","N/A","30.67","N/A","6.285","N/A"
"50","5","20","0","dry","2400","8","N/A","33.35","N/A","7.11","N/A","4","N/A","33.35","N/A","7.11","N/A","33.35","N/A","7.11","N/A","12","N/A","32.87","N/A","6.72","N/A","5","N/A","33.55","N/A","6.822","N/A","32.38","N/A","6.650000000000001","N/A"
"50","5","20","0","dry","2411","10","N/A","30.65","N/A","6.28","N/A","5","N/A","30.65","N/A","6.28","N/A","30.65","N/A","6.28","N/A","10","N/A","32.25","N/A","6.56","N/A","3","N/A","33.19","N/A","6.876666666666666","N/A","31.85","N/A","6.4300000000000015","N/A"
"50","5","20","0","dry","2443","9","N/A","35.53","N/A","7.25","N/A","7","N/A","35.53","N/A","7.25","N/A","35.53","N/A","7.25","N/A","11","N/A","34.27","N/A","6.97","N/A","6","N/A","33.7","N/A","6.933333333333334","N/A","34.96","N/A","7.013999999999999","N/A"
"50","5","20","0","dry","2446","7","N/A","31","N/A","6.37","N/A","4","N/A","31","N/A","6.37","N/A","31","N/A","6.37","N/A","13","N/A","32.56","N/A","6.67","N/A","8","N/A","32.93","N/A","6.7524999999999995","N/A","31.97","N/A","6.550000000000001","N/A"
"50","5","20","0","dry","2448","7","N/A","32.1","N/A","6.59","N/A","5","N/A","32.1","N/A","6.59","N/A","32.1","N/A","6.585","N/A","13","N/A","32.93","N/A","6.84","N/A","7","N/A","33.9","N/A","7.121428571428571","N/A","31.81","N/A","6.508333333333334","N/A"
"50","5","20","0","dry","2449","8","N/A","36.03","N/A","7.15","N/A","4","N/A","36.03","N/A","7.15","N/A","36.03","N/A","7.15","N/A","12","N/A","33.62","N/A","6.88","N/A","6","N/A","34.39","N/A","7.071666666666667","N/A","32.84","N/A","6.6933333333333325","N/A"
"50","5","20","0","dry","2455","10","N/A","31.63","N/A","6.47","N/A","3","N/A","31.63","N/A","6.47","N/A","31.63","N/A","6.469999999999999","N/A","10","N/A","31.28","N/A","6.41","N/A","5","N/A","30.35","N/A","6.304000000000001","N/A","32.2","N/A","6.507999999999999","N/A"
